频道1,#genre#
橙子一台,https://ip3731198171.mobgslb.tbcache.com/d1--cn-gotcha09.bilivideo.com/live-bvc/768410/live_1849890871_69368354.m3u8?
BOOM ERANG,http://server.sibfungold.info:8080/naasiptv/gutNC1gKgm/54202
松视3,vjms://23.237.33.155:8500:3502/live/cid=268&delay=400&httpbuf=400&memory=50|http://tw8058.sinodig.com?key=ADZie6PocQzvhxdjhiWRe
爆谷台,http://hs.crtvhstv.xyz:80/play/VcEn_Ptf76IRZM6gvuBMygQ164eZT2c3b45rryEtOk4
爱尔达体育3台,http://hk.huanqiuzhibo.cn/hqzbhklive.php?id=113
Mytv经典台,http://pull-l3-cny.douyincdn.com/live/ec315ee9703ec628d25e8f48cdf5cb29.flv
100,http://60.10.167.88:808/hls/100/index.m3u8
女神影院,https://pull.kktv8.com/livekktv/99350550.flv
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
彩虹電影,p2p://60.249.213.25:9900/56e9fc020000c4e904c0593f16c33cd2.ts
欧美1,http://124.238.99.44:808/hls/401/index.m3u8
松视2台,https://flv3948069e.live.126.net/live/sytv_56830b3d6e8464f8479dde69be773622.flv
黑兔,http://213.59.128.163:8000/udp/239.255.50.205:5500
Chrome❤,https://vod2t.xpanded.com/x3tv/index_wlan.m3u8
韩Playboy,http://allanf181.github.io/adaptive-streams/streams/kr/PlayboyTVKorea.m3u8
韩Honey,http://allanf181.github.io/adaptive-streams/streams/kr/HoneyTV.m3u8
韩Midnight,http://allanf181.github.io/adaptive-streams/streams/kr/Midnight.m3u8
JStar极限台,mitv://ns1.hellotvvod.com:9906/331c31537de3490cb0dfebcf5b58ac14
欧洲彩虹频道,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19401/index.m3
韩国三级,http://50.7.118.106:5000/nn_live.ts?id=11022
K18+电影,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/18060/index.m3u8
18++电影HD,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/18053/index.m3u8
电影频道1,#genre#
卫视卡式台,http://171.214.10.139/live-bvc/314513/live_372775317_46465575_1500/index.m3u8
超级体育,http://39.134.115.163:8080/TVOD/88888910/224/3221225622/index.m3u8
超级体育,http://39.134.115.163:8080/TVOD/88888910/224/3221225767/index.m3u8
超级电影,http://39.134.115.163:8080/TVOD/88888910/224/3221225623/index.m3u8
超级电影,http://39.134.115.163:8080/TVOD/88888910/224/3221225766/index.m3u8
超级电视剧,http://39.134.115.163:8080/TVOD/88888910/224/3221225625/index.m3u8
超级电视剧,http://39.134.115.163:8080/TVOD/88888910/224/3221225765/index.m3u8
超级综艺,http://39.134.115.163:8080/TVOD/88888910/224/3221225620/index.m3u8
超级综艺,http://39.134.115.163:8080/TVOD/88888910/224/3221225768/index.m3u8
精品体育,http://39.134.115.163:8080/TVOD/88888910/224/3221225709/index.m3u8
精品大剧,http://39.134.115.163:8080/TVOD/88888910/224/3221225714/index.m3u8
精品电影,http://39.134.115.163:8080/TVOD/88888910/224/3221225718/index.m3u8
精品记录,http://39.134.115.163:8080/TVOD/88888910/224/3221225710/index.m3u8
铜综艺,http://39.134.115.163:8080/TVOD/88888910/224/3221225711/index.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
CHC动作电影,http://125.40.191.58:9901/tsfile/live/1002_1.m3u8
CHC动作电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC动作电影,http://117.148.179.157/PLTV/88888888/224/3221231580/index.m3u8
CHC动作电影,http://117.148.179.157/PLTV/88888888/224/3221232945/index.m3u8
CHC动作电影,http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8
CHC动作电影,http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8
CHC动作电影,http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8
CHC动作电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院,http://125.40.191.58:9901/tsfile/live/1001_1.m3u8
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://117.148.179.157/PLTV/88888888/224/3221232942/index.m3u8
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://gxfrg007.8800.org:8282/tsfile/live/1096_1.m3u8
CHC家庭影院,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1
CHC家庭影院,http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC高清電影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
CHC高清電影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
天映经典台],http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8
天映经典台],http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8
TVB星河台,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8
龙翔电影台,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8
东森电影台,http://gxfrg007.8800.org:8282/tsfile/live/1049_1.m3u8
东森洋片台,http://gxfrg007.8800.org:8282/tsfile/live/1050_1.m3u8
KiD影院1,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
香港频道1,#genre#
星河国语,http://pull-l3-cny.douyincdn.com/live/142e1a32141019f39ffb7479f2b7ee35.m3u8?
私人影院,http://gxfrg007.8800.org:8282/tsfile/live/1061_1.m3u8
天映经典台,http://gxfrg007.8800.org:8282/tsfile/live/1053_1.m3u8
TVB 星河台,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8
东森电影,http://gxfrg007.8800.org:8282/tsfile/live/1049_1.m3u8
